Study_Hours,Attendance,Previous_Marks,Assignment_Score,Result
3.4,47.0,66.0,67.0,0
9.4,43.0,80.0,55.0,0
3.2,42.0,91.0,91.0,1
5.2,91.0,85.0,57.0,1
7.0,82.0,46.0,87.0,1
3.6,68.0,59.0,61.0,0
9.7,46.0,38.0,56.0,0
9.6,69.0,92.0,62.0,1
2.5,68.0,69.0,51.0,0
5.0,50.0,45.0,82.0,1
3.0,66.0,74.0,65.0,0
2.8,64.0,70.0,46.0,0
0.4,77.0,53.0,93.0,0
6.1,78.0,37.0,57.0,0
5.0,43.0,74.0,68.0,1
0.5,62.0,64.0,93.0,0
2.8,78.0,80.0,74.0,1
9.1,70.0,64.0,38.0,1
2.4,91.0,85.0,96.0,1
1.4,80.0,66.0,74.0,1
4.9,50.0,66.0,53.0,0
9.9,44.0,87.0,40.0,1
2.4,79.0,56.0,86.0,0
6.7,42.0,39.0,73.0,0
7.6,75.0,32.0,67.0,0
2.4,96.0,79.0,93.0,1
7.3,75.0,70.0,85.0,1
3.7,63.0,76.0,41.0,0
6.3,79.0,44.0,52.0,0
6.3,67.0,39.0,47.0,0
5.4,73.0,31.0,82.0,0
0.9,96.0,53.0,32.0,0
8.4,63.0,68.0,70.0,1
3.2,98.0,55.0,83.0,1
1.9,94.0,58.0,91.0,1
0.4,52.0,89.0,54.0,0
5.9,44.0,53.0,87.0,0
6.8,46.0,63.0,38.0,0
0.2,41.0,81.0,89.0,0
5.1,46.0,56.0,39.0,0
2.3,81.0,70.0,58.0,0
6.5,44.0,86.0,86.0,0
1.7,59.0,92.0,40.0,0
6.9,91.0,40.0,46.0,0
3.9,41.0,90.0,81.0,1
9.4,89.0,62.0,80.0,1
1.4,57.0,47.0,75.0,0
3.4,47.0,60.0,79.0,0
1.1,82.0,94.0,68.0,0
9.2,78.0,62.0,48.0,1
8.8,93.0,51.0,54.0,1
2.6,84.0,71.0,43.0,0
6.6,88.0,46.0,94.0,1
8.2,57.0,35.0,71.0,0
5.6,51.0,38.0,58.0,0
5.3,85.0,38.0,62.0,1
2.4,88.0,40.0,96.0,0
0.9,99.0,39.0,41.0,0
9.0,65.0,72.0,71.0,1
9.0,62.0,42.0,65.0,1
6.3,87.0,52.0,73.0,1
3.4,60.0,88.0,31.0,0
3.5,96.0,61.0,91.0,0
7.3,92.0,73.0,95.0,1
9.0,66.0,41.0,70.0,1
8.9,85.0,42.0,79.0,1
7.8,85.0,33.0,95.0,1
